Date,ID,Text
2023-09-20,B4pWH-80vRw,this car imho is overpriced overhyped and under performs on every level
2024-03-20,B4pWH-80vRw,its fun to drive
2023-09-20,B4pWH-80vRw,this praising advertising test is sure not to be removed by stellantis as the real carwow test did   i wonder what the story behind that was 
2023-09-22,B4pWH-80vRw,so weird i remember adding that to watch later then it was gone i recall the thumbnail said something like this car broke 4 times during testing its a shit suv either way
2024-07-06,vqJX4FuVB2g,and the old american petrol cans usually called gerry cans were copies of the german ww2  petrol cans hence the name gerry can
2024-06-27,vqJX4FuVB2g,i really enjoyed the journalist reasonable opinion not positive or negative just as it is i was in love with the avenger but now i doubt i will look further maybe a duster
2024-06-26,vqJX4FuVB2g,i drove a compass once before it was the worst car i ever drove felt cheap felt like a tin can the wheel fucked up the brakes made weird noises it had zero power or pull literally just a car for if you dont know any better
2024-06-25,vqJX4FuVB2g,who here from gta five update
2024-06-25,vqJX4FuVB2g,broke down four times with matt and the video is no longer available
2024-06-18,vqJX4FuVB2g,is he really tall or is it really small  i thought jeeps were huge 
2024-06-17,vqJX4FuVB2g,thats for wrangler owners
2024-06-08,vqJX4FuVB2g,the jeep wave is for real jeeps wranglers the 4 door wranglers may not even get a wave
2024-06-05,vqJX4FuVB2g,basically just an electric vauxhall mokka
2024-05-04,vqJX4FuVB2g,looks retro
2024-05-02,vqJX4FuVB2g,this was a bloody good review
2024-05-02,vqJX4FuVB2g,good jeep let me see what dollars behind it with availability in asia pakistan
2024-04-22,vqJX4FuVB2g,yes you can get in with a petrol engine
2024-03-30,vqJX4FuVB2g,of course theres lots of plastic its american made rory lol
2024-03-26,vqJX4FuVB2g,when natural calamities hit and the power grid falls apart its the internal combustion engine thats going to work
2024-03-25,vqJX4FuVB2g,sounds like shite in every category
2024-03-08,vqJX4FuVB2g,towing weight of 0kg make it useless in finland  where everybody is moving around fire wood
2024-03-06,vqJX4FuVB2g,do european cars not normally make a ticking noise when the turn signals activated
2024-03-02,vqJX4FuVB2g,india launch
2024-02-29,vqJX4FuVB2g,looks like awd is coming soon
2024-02-26,vqJX4FuVB2g,in my country  car of the year 2024 is toyota chr
2024-02-23,vqJX4FuVB2g,i remember when jeep use to rival land rover
2024-02-19,vqJX4FuVB2g,most jeep wrangler drivers wouldnt acknowledge any other type of jeep as legitimate
2024-02-18,vqJX4FuVB2g,why cant i find the 12ltr turbo petrol version
2024-03-19,vqJX4FuVB2g,only in italy or spain afaik
2024-02-17,vqJX4FuVB2g,jeep wave and ducking is mostly only for wranglers and gladiators aka true 4x4 vehicles not suv mall crawlers
2024-02-13,vqJX4FuVB2g,será bem vindo no brasil
2024-02-13,vqJX4FuVB2g,i got a petrol one
2024-02-07,vqJX4FuVB2g,hybrid is only 74 kw 101 bhpwow
2024-02-04,vqJX4FuVB2g,yawn another ipad on wheels
2024-02-02,vqJX4FuVB2g,yellow mellow very portable
2024-02-02,vqJX4FuVB2g,very nice
2024-01-31,vqJX4FuVB2g,"jeep wave and ducking are for wrangler only
the wrangler 4xe is the womens car of the year not the model of jeep you are reviewing"
2024-01-26,vqJX4FuVB2g,these car of the year awards smell to me it sounds like a payola  send our jurists on allexpenses paid jollies and maybe something under the table and in return we award you a title you can use to fool consumers into buying the car the smell for 2023 was especially bad considering the jeep didnt even go into mass production until late 2023 and yet won in january and when it did turn up people agreed it was a nice looking car but unreliable and underwhelming
2024-01-24,vqJX4FuVB2g,010 buddy that has to be a real jeep as in a wrangler not an italian econobox
2024-01-20,vqJX4FuVB2g,ive been waiting 2 years for parts for my 2014 jeep grand cherokee that unlocks the steering wheel so the car can drive jeep cannot provide me the parts they have told me that manufacturing stopped during covid and has never started back up they held 2000 in cash for 15 months until i finally demanded it back as they couldnt get the part a contractor working on my house has a brand new 2023 model thats 6 months old and its been sitting in jeep waiting for parts for 6 weeks whilst he drives a loan car they told him not to put my km on it  the circus around the carwow video and the cover up to hide this should be a warning to anyone considering a car from jeep or the larger stellantis group and any of their brands to avoid all of them you dont need to be a genius to recognise a sinking ship
2024-01-17,vqJX4FuVB2g,so auto trader couldnt find there own favourite bit of road so just copy harrys garage and go on his lazy journalism
2024-01-12,vqJX4FuVB2g,more stellantis rubbish look great but i cant see this being a decent ev
2024-01-10,vqJX4FuVB2g,cupple of cans of water 
2024-01-05,vqJX4FuVB2g,it may be a good machine but it looks ugly there are far better looking cars in the market
2023-12-28,vqJX4FuVB2g,"the interior of the jeep avenger feels like a budget car with a premium price
seriously not only jeep but the american car brands keep getting worse think about chrysler chevrolet jeep the exception for now might be ford that still makes a competitive cars"
2023-12-24,vqJX4FuVB2g,i have only seen the wave in a landrover
2023-12-23,vqJX4FuVB2g,in the us the jeep wave is just a wrangler thing is it different in europe
2023-12-16,vqJX4FuVB2g,nyc car
2023-12-12,vqJX4FuVB2g,the jeep wave is only done by wrangler owners not just any other jeep
2023-12-04,vqJX4FuVB2g,jeeps are plastic orientated inside my 05 liberty is very plastic inside but it is basically a tank if you want luxury you dont buy a jeep
2023-11-29,vqJX4FuVB2g,jeep
2023-11-18,vqJX4FuVB2g,"easy to watch this guy 
cheers"
2023-11-16,vqJX4FuVB2g,its a peugeot 2008 with different body and trim parts
2023-11-14,vqJX4FuVB2g,many many years ago when i used to drive my old dads reliant robin it was customary that if you saw another reliant that you waved to them to be fair i would say that 85 of drivers did actually wave back i think this is mainly because a lot of three wheeler drivers were actually exmotorcyclist and traditionally most bikes wave at each other even to this day if i am out on the motorbike most other riders will either nod or wave to you
2023-11-07,vqJX4FuVB2g,not trying to offend anyone but honestly havent been able to understand why some ppl love jeep clearly from this video it doesnt look very comfortable for the passengers and mercedes def win the interior awards
2023-10-27,vqJX4FuVB2g,96 seconds to 60 for an electric car is simply unacceptable
2023-10-26,vqJX4FuVB2g,only reason its electric is because of a school child
2023-10-26,vqJX4FuVB2g,i had jeep renagade trailhawk  when they came out in 2015 loved it bit loads problems it locked all its doors  took dealer three months to fix
2023-10-24,vqJX4FuVB2g,i dont like wherehow the chosed to cut the bumper line it looks cheap and i forsee alot of broken bumper tabs problems nice car though
2023-10-24,vqJX4FuVB2g,mg4 is way better isnt it
2023-10-21,vqJX4FuVB2g,its a sad state of affairs that this effort is european car of the year our european neighbours will decide with their pockets i dont expect to see many of these on uk roads  we will see
2023-10-23,vqJX4FuVB2g,come home son the continent wants you
2023-10-20,vqJX4FuVB2g,wtf the dodge avenger coupe from the mid 90s become a mid size sedan in the late 2000s and now is eletric jeep
2023-10-20,vqJX4FuVB2g,i find myself in eco mode in stellantis cars  you still get the full power when you floor it in that mode
2023-10-19,vqJX4FuVB2g,the jeep wave is for actual jeeps like willys cj2 3 5 7 wranglers gladiators  that sort of jeep all other jeeps are basically marketing
2023-10-19,vqJX4FuVB2g,very good review and pretty much the same thoughts about the jeep as i had after driving it twice it is far too expensive for its size top spec should be at least 5000 s cheaper especially  when compared to the chinese opposition top marks though for the italian design and french engine technology i just hope the heat pump works well here in finland at the moment you cant preheat for charging stops something that is urgently needed in an update when driving in minus 20c conditions
2023-10-19,vqJX4FuVB2g,jeepers creepers  couldnt help myself 
2023-10-19,vqJX4FuVB2g,great car review mate
2023-10-18,vqJX4FuVB2g,jeep waving and ducking is just for wranglers
2023-10-17,vqJX4FuVB2g,oh my god i thought it was renault terrano
2023-10-17,vqJX4FuVB2g,plastic  more rugged hurrdurr
2023-10-17,vqJX4FuVB2g,car interior and exteriors have been covered in plastic since at least the early 1980s
2023-10-15,vqJX4FuVB2g,jeep should be ashamed of itself 2wd borrowing the name from dodge forcing an ev on peoplepure laziness side note the jeep wave  ducking apply only to wranglersand gladiators if youre feeling generous
2023-10-14,vqJX4FuVB2g,kindly check tata harrier
2023-10-14,vqJX4FuVB2g,it looks like dacia model
2023-10-13,vqJX4FuVB2g,after how many miles most parts have been replaced
2023-10-13,vqJX4FuVB2g,what a un ugly car
2023-10-12,vqJX4FuVB2g,i hope they make an ev out of this it would be a banger
2023-10-13,vqJX4FuVB2g,yeah i dont like the exhaust on this one
2023-10-17,vqJX4FuVB2g,elaba_ 
2023-10-10,vqJX4FuVB2g,"your delusional
its not worth 20 k 
i would say its a box of plastic"
2023-10-09,vqJX4FuVB2g,a jeep the worlds best car how many back handers do they give these reviewers this will depreciate like a stone
2023-10-09,vqJX4FuVB2g,the presence of a lot of plastic can be put down to fiat being the owner of them now or stallantis as its now known and unfortunately fiats plastics as we know form the 500 age horribly look up reviews of used 500s and all of the colouring has come off of the limited edition colour parts theyre surface coloured and not colour through so the moment they wear they either show through white or black depending on the base colour of the plastic substrate that will almost certainly happe with that coloured dash panel
2023-10-09,vqJX4FuVB2g,now i can modify my dacia duster into this
2023-10-09,vqJX4FuVB2g,looks like duster
2023-10-08,vqJX4FuVB2g,stellantis really needs to stop naming cars avenger theyve recycled this nameplate so many timesthe only one anybody liked was the original usspec coupe
2023-10-08,vqJX4FuVB2g,the jeep wave applies to wranglers and gladiators my friendsorry
2023-10-08,vqJX4FuVB2g,i wouldnt exchange my 3 years old peugeot 2008  with this pile of crap even now its rubbish
2023-10-08,vqJX4FuVB2g,of course not its a jeep
2023-10-08,vqJX4FuVB2g,safety rating euro ncap please it seems it is 3 star only
2023-10-07,vqJX4FuVB2g,black jeeps wave to other black jeeps
2023-10-07,vqJX4FuVB2g,i think we can all thank stellantis for this i drivena  couple of renegades from fca times whi then were cheapest jeeps and built quality was way better
2023-10-07,vqJX4FuVB2g,why quote the wltp range as a good thing when we all know its a lie
2023-10-07,vqJX4FuVB2g,we quoted real world efficient too
2023-10-06,vqJX4FuVB2g,save 3k on the matching fiat unless polish jeeps are your jam jeep is a branding empire more than anything
2024-02-11,vqJX4FuVB2g,whats the matching fiat called
2023-10-06,vqJX4FuVB2g,the movement of the interior has immediately put me off
2023-10-05,vqJX4FuVB2g,96 seconds to 60 is pretty darn good for an electric jeep i bought a 1972 alfa romeo 2000 gtv veloce with twin camssodium cooled valvesfuel injection and that was the 060 timesand in that day that was one of the fastest small cars availableso the jeep is pretty fast
2023-10-07,vqJX4FuVB2g,because something was fast 50 years ago doesnt mean its fast now  96 is painfully slow and north of 60mph would be horrific
2023-10-09,vqJX4FuVB2g,chrishannibal5309 i feel like my old 2003 tacoma use to to 60 in 7 seconds
2023-11-25,vqJX4FuVB2g,my car dose 0 to 60 in about the same time believe me its pretty slow
2024-01-14,vqJX4FuVB2g,96s for that price tag is slow same price on an ice car would be much better than that
2023-10-05,vqJX4FuVB2g,the reason i like cars like this is because they are higher and when you are in a car thats high you dont feel as much the distance
2023-10-05,vqJX4FuVB2g,it looks like a dacia duster
2023-10-05,vqJX4FuVB2g,jeep and car of the year 
2023-10-04,vqJX4FuVB2g,using the avenger name is like using a retired players number let the dodge avenger rest in peace pieces
2023-10-04,vqJX4FuVB2g,but its ugly
2023-10-04,vqJX4FuVB2g,great review this was very helpful and crystal clear explanation
2023-10-04,vqJX4FuVB2g,thats a telltale sign storage areas are poorly sized when car companies quote their capacities in arbitrary measurements like rubber ducks and pingpong balls 
2023-10-03,vqJX4FuVB2g,which year
2023-10-03,vqJX4FuVB2g,"you would have to a complete idiot to buy a jeep product in europe i say this as someone who is on their 12th jeep since i have moved back to europe i was completely shocked how badly jeep treats their customers the dealer network is a special kind of hell they do whatever they can to deny warranty claims i had this situation several times on a wrangler with 12k kms on the clock 
do not buy a jeep if you live in europe"
2023-10-03,vqJX4FuVB2g,not a jeep
2023-10-03,vqJX4FuVB2g,cant get excited about evs
2023-10-03,vqJX4FuVB2g,jeep wave only works in real jeeps like wrangler 
2023-10-03,vqJX4FuVB2g,wonderful review as always 
2023-10-03,vqJX4FuVB2g,worlds best joke
2023-10-02,vqJX4FuVB2g,"shot answer no
long answer noooooooo"
2023-10-02,vqJX4FuVB2g,i had an original avenger in the 70s that thing went wrong on a regular basis and i think this will do the same jeep and cheap are synonymous for a reason
2023-10-02,vqJX4FuVB2g,electric dull the go green people have no clue how these electrics are stupid i also dont understand why we have a separate world womens panel of reviewers is this a new gender or something they are and can be part of the existing organisations and agencies why there is separate endorsement and patronage most of all the ambitious ones dont fantasize budget or efficient cars anyways even if it is the world car of the year
2023-10-02,vqJX4FuVB2g,didnt know this existed
2023-10-02,vqJX4FuVB2g,great review but the car looks so cheap
2023-10-01,vqJX4FuVB2g,just 249 miles range 
2023-10-01,vqJX4FuVB2g,every electric car is a shitbox
2023-10-01,vqJX4FuVB2g,jeep wave and duck duck jeep is only done by the jeeple in wranglers and gladiators
2023-10-01,vqJX4FuVB2g,im a fan of this car but the price is ridiculous for a small car with 4 year old electric car tech its going to get destroyed by the volvo ex30 and the fisker pear when they arrive both will be the same money but years ahead in terms of tech and design its a pity stellantis couldve done a dacia and sold off the old tech at a knock down price personally i dont get what the premium price gets you better residuals
2023-10-01,vqJX4FuVB2g,jeep in the uk  its strange
2023-10-01,vqJX4FuVB2g,suzuki sj and vitara owners have done the wave for years
2023-09-30,vqJX4FuVB2g,junk junk and more junk jeep is a super cheap junky over priced car it will be bankrupt in 5 years for less this is a peugeot
2023-09-30,vqJX4FuVB2g,i swear the jeep wave is more for actual jeeps like the wrangler in london if im in the wrangler other wrangler owners almost always wave
2023-09-30,vqJX4FuVB2g,most importantly we now have a new word for the dictionary ensmallen beautifully stated im thinking  resmallen maybe better
2023-09-30,vqJX4FuVB2g,looks like a kia
2023-09-30,vqJX4FuVB2g,agreed with you jeep is best of the best i love another brands still having add their brand value by no mean reality but jeep another side
2023-09-29,vqJX4FuVB2g,you obviously didnt watch jeepers creepers
2023-09-28,vqJX4FuVB2g,no one has mentioned the fact that it looks to be a compass  in styling and spec  just with a few tweaks
2023-09-28,vqJX4FuVB2g,i like the looks outside and inside though the transmission tunnel and overly narrow middle rear seat make it a 4seater for a couple with young children wonder what the euroncap rating will be will it roll in the offset
2023-09-28,vqJX4FuVB2g,its landrover wave
2023-09-27,vqJX4FuVB2g,fyi uk is situated in europe
2023-09-27,vqJX4FuVB2g,world car doesnt equal best car its meant to have the greatest impact and value for money also untrue that jeep doesnt address urban families the cherokee has done that for decades
2023-09-27,vqJX4FuVB2g,an ev with 150hp sounds fine to me 80hp in an ev of that size sounds absurd
2023-09-26,vqJX4FuVB2g,the new volvo ex30 is a similar starting price is more modern faster safer better equipped charges faster and is just all round better quality struggling to see how the jeep is in any way interesting or competitive let alone car of the year
2023-10-01,vqJX4FuVB2g,i think it won because its a likeable car theres nothing inoffensive about it its practical and well designed impractical flawed or expensive cars win car of the year all of the time sometimes really dull stuff wins i think this is a decent all rounder though the price is pretty steep the ex30 and the fisker pear will blow this out of the water though it has a head start before values go through the floor i guess thats the story with all of the current crop of evs though the tech is moving so fast
2023-09-26,vqJX4FuVB2g,ive only experienced the jeep wave in a wrangler or gladiator not other normal jeeps
2023-09-26,vqJX4FuVB2g,why is this the car of the yearit is just a regular ev car with a disappointing range bad quality interior and overpriced
2023-09-26,vqJX4FuVB2g,"of course not those titles are being bought is a known practice already
theres nothing car of the year about this crossdressing fiat
is a tiny lifted hatchback with a stupid high price
this is not a jeep a fun serious offroader but a vehicle for the metrosexual libertarian minds the poosers 
its a small hatchback sold for the price of a premium sport sedan with double its power and great performance tesla model 3
this crossdressing fiat would be ok if the price were right aka 30000 eur for the top trim based on what it offers"
2023-09-26,vqJX4FuVB2g,a pre production model
2023-09-26,vqJX4FuVB2g,did they slightly maybe by a factor of 1 or so change the font of avenger on the doors since the last vid of the avenger you did 
2023-09-25,vqJX4FuVB2g,there is no such thing as the jeep wave so gullible
2023-09-25,vqJX4FuVB2g,"the more time you spend with it the more you like it  
the same thing i think about my money"
2023-09-25,vqJX4FuVB2g,you are a very generous man you said so many nice things about a 12000 vehicle being sold for 30000
2023-09-25,vqJX4FuVB2g,the shift controls look just like a fiat 500s hmmmm
2023-09-24,vqJX4FuVB2g,my thought process after the review  jeepers creepers who like to duck
2023-09-24,vqJX4FuVB2g,36k for a plastic interior no thanks
2023-09-24,vqJX4FuVB2g,the jeep wave is for wranglers atleast in the tj days and before not sure if it still is
2023-09-23,vqJX4FuVB2g,hey rory autotrader the main question is is it better than peugeot e2008 e2008 seems a slightly more premium design better interiors and more practical whats your take
2023-10-20,vqJX4FuVB2g,jeep is a bit softer and has stronger parts used in the suspension at least thats what they told us 
2023-09-23,vqJX4FuVB2g,so if im between this smart 1 and volvo ex30 which one is better
2023-10-01,vqJX4FuVB2g,ive been sitting in a fiat 600e recently  basically a twoseater as opposed to the smart 1 which is more comparable to a vw id3 in terms of interior space the smart is  and i guess the ex30 will be  a pretty decent offering overall
2023-09-23,vqJX4FuVB2g,fuel 
2023-09-23,vqJX4FuVB2g,synthetic
2023-09-23,vqJX4FuVB2g,what a joke were making noises in these stupid battery toys  crap
2023-09-23,vqJX4FuVB2g,missed the opportunity to name it evenger
2023-09-23,vqJX4FuVB2g,please make more motorcycle videos too
2023-09-22,vqJX4FuVB2g,no jeep wave and ducks are a wrangler thing
2023-09-22,vqJX4FuVB2g,the trouble was the car of the year award was brought out before the car was released not as good as what jeep wanted people to think also it is a peugeot underneath
2023-09-22,vqJX4FuVB2g,how can it be the best car of the year when it has to charge before 1000 km
2023-09-22,vqJX4FuVB2g,a car called jeep  ill  never spend my money to buy its ugly look and money pit
2023-09-22,vqJX4FuVB2g,this is not a jeep but some cheap european rubbish from fiat
2023-09-22,vqJX4FuVB2g,the jeep avenger is a beautiful electric car it should be exported to the usa
2023-09-22,vqJX4FuVB2g,why are you slagging jeep its not german italian  not forgetting its not britishhow much are you getting paid for your singular opinion
2023-09-22,vqJX4FuVB2g,"this is one of the things that bugs me car of the year awards at the beginningearly part of the year its just a marketing con it makesabsolutely no sense for a cunsumers point of view why not near the end of the year when they have all the new makesmodels even versionslevel of trims and vitally some sense of reliabilty of cars that have been released during the year in question i mean heck if they had awarded this jeep all these awards and then found out that an engine component regularly lunched the motor or another compnent necessitated the mass recall of the car be it safety or whatever a number of months later well certainly an egg on faces moment eh 
you wouldnt give a crap tonne of awards to a movie say before it was released to the audiences would you it could very well flop big style well as is common these days
to me car of the year awards and the magazines that give them are just moronic its all just a scam and nothing more i prefer to read reviews on what has been out at least a year to get the true sense of what cars or whatever i personally am looking to buy to learn and understand what exactly is and isnt a good product with regards to build quality reliability and value 
"
2023-09-22,vqJX4FuVB2g,so many easter eggs in the windows i guess this is just jeep trying to avoid people that have to replace glass to go for a 3rd party ahahaa
2023-09-22,vqJX4FuVB2g,metal bumpers are illegal since 1980s just to let you know
2023-09-22,vqJX4FuVB2g,so basically they paid someone for that car of the year badge loads of plastic limited boot space no frunk limited innovation and a shit stereo rightmoving along
2023-09-22,vqJX4FuVB2g,340 miles would require an efficiency of 63 miles per kwh really
2023-09-22,vqJX4FuVB2g,thats the official urban wltp figure unlikely but plausible
2023-09-22,vqJX4FuVB2g,"interesting review
not all of the superheroes wear capes they drive around in an electric  yellow jeep avenger
thinking it looks good its different from all the mundane european boxes that are on our roads
shame about the build quality black moveable plastic no arm rest or ventilation in the rear what about the 2443 rubber ducks in the boot
is it car of the year no i have to agree there are much better cars like the 
ferrari purosangue one of your best reviews stunningly beautiful location and an awesome car
at the end of the day 
its a jeep its different even though it has a starting price at 36k rising to over 40k will people buy it you know they will"
2023-09-22,vqJX4FuVB2g,we are witnessing a huge marketing effort to help a esential corporate product appeal as much people as possible when its clearly a lemon
2023-09-21,vqJX4FuVB2g,whats with so many car reviewers using roads around chipping norton in oxfordshire here is rory using the road from charlbury to burford through the wychwood forest the same one harry metcalf uses for his reviews and matt watson generally uses the roads around deddington and out towards enstone just a few miles to the east  could it be that they all live in the area harry certainly does or are they members of soho farmhouse at great tew  or is it the clarkson farm tractor beam sucking them into the area around jeremys gaff at chadlington  curious
2023-09-22,vqJX4FuVB2g,the uk press launch of this car happened took place in that area so most of us went to a location to pick the car up
2023-09-22,vqJX4FuVB2g,thanks for taking the trouble to reply  i recognised the road the film was made on as i live in the area and use it regularly  it just amused me that lots of road tests seem to take place in the proximity of diddly squat farm
2023-09-21,vqJX4FuVB2g,jeep wave is only for wranglers if im not mistaken
2023-09-21,vqJX4FuVB2g,europeanen car ot the year i can honestly say i have never seen one over here in the netherlands but it looks oke
2023-09-21,vqJX4FuVB2g,are other youtube channels allowed to film on harrys favourite bit of road  
2023-09-21,vqJX4FuVB2g,i like it when you say that is not the end of the world because actually this car can hardly get us to the end of the world
2023-09-21,vqJX4FuVB2g,same route as where harry m does his epic reviews
2023-09-21,vqJX4FuVB2g,no no it isnt
2023-09-21,vqJX4FuVB2g,looks cheap and nasty to me
2023-09-21,vqJX4FuVB2g,i live in london and have yet to see one of these on the road
2023-09-21,vqJX4FuVB2g,ive had jeeps for the past decade or more but you lost me as soon as bev was mentioned i need something that can tow
2023-09-21,vqJX4FuVB2g,2023 coty with 100kw max charging hardly pushing a boundary fo an award
2023-09-21,vqJX4FuVB2g,has this one broken down yet  lol
2023-09-21,vqJX4FuVB2g,whoever gives out these awards should not work in this business there is nothing under the stellantis brand ever worthy of such an honor they are all over priced plastic on wheels that dont last such a shame
2023-09-21,vqJX4FuVB2g,man it looks tighttoo small
2023-09-21,vqJX4FuVB2g,its an ugly bug
2023-09-21,vqJX4FuVB2g,i still have no idea why this car won the award
2023-09-22,vqJX4FuVB2g,because they desperately need a selling point
2023-09-27,vqJX4FuVB2g,because of envelopes under the table 
2023-09-21,vqJX4FuVB2g,why has every modern car body be 30 made of plastic 
2023-09-21,vqJX4FuVB2g,plastic means oil means long term pain
2023-09-21,vqJX4FuVB2g,i stopped the vid after i heard all electric boring car
2023-09-21,vqJX4FuVB2g,i wont get that for free
2023-09-21,vqJX4FuVB2g,a cobbled together car out of the group parts bin may be ok ish but car of the year etc no way at all
2023-09-21,vqJX4FuVB2g,showing your age repeatedly in this video lol
2023-09-21,vqJX4FuVB2g,isnt this the car mat watson tested for carwow and it broke down on him 3 times then a day later the video for the car was taken of the channel 
2023-09-21,vqJX4FuVB2g,great news as the government has extended the sales of ice and diesel car i can see ev sales dropping
2023-09-21,vqJX4FuVB2g,1000 does this means it remembers its latest setting and doesnt fall back to a standard mode thats cool and not always a given i remember from other reviews in the past of cars that reverted back to a standard setting everytime you restarted the car
2023-09-21,vqJX4FuVB2g,the jeep wave only  applies to the wrangler
2023-10-03,vqJX4FuVB2g,was just going to write the same thing other cars in the jeep lineup are just cars they are not jeeps
2023-10-12,vqJX4FuVB2g,well with modern jeeps anyway
2023-11-29,vqJX4FuVB2g,jeep wave applies to the cj not the wrangler
2024-01-31,vqJX4FuVB2g,"amass16
too bad most cj were in junk yards now"
2024-02-10,vqJX4FuVB2g,nah xj
2023-09-21,vqJX4FuVB2g,its definately not a jeep just another stellantis mongrel ok it is a utility vehicle that so having lots of plastic is fine making it easy to keep clean but 36000 they are having a joke now if they had made it a four wheel drive with true off road ability then they might have been on to something come on rory say what you really think
2023-09-21,vqJX4FuVB2g,using harry metcalfes road is a bit rude i hope you asked his permission first 
2023-09-21,vqJX4FuVB2g,"eather this or the dacia duster are copying one another 

also this just not look like a jeep first time i saw it  what the duster has a facelift"
2023-09-21,vqJX4FuVB2g,"looks like 35k quid dacia duster 


dont get me wrong it looks better than dacia duster and probably drives better but otherwise its just dacia duster to me"
2023-09-21,vqJX4FuVB2g,"ensmallen the aperture bravo  

saw it in person last week at car show as a renegade owner i was totally underwhelmed"
2023-09-27,vqJX4FuVB2g,ensmallen its a perfectly cromulent word  
2023-09-21,vqJX4FuVB2g,looking at it n am not getting any jeep vibes whatsoever
2023-09-21,vqJX4FuVB2g,is this the car from batman vs superman
2023-09-21,vqJX4FuVB2g,does nobody know what plastic is made from
2023-09-21,vqJX4FuVB2g,it was fine as a corsa alternative if it started at 20k upto 30 then ok starting at 36not a hope in hell
2023-09-21,vqJX4FuVB2g,strange how we need electric memory seats these days i have them but be honest i prefer manual faster to move
2023-09-24,vqJX4FuVB2g,if you are sharing a car regularly with someone memory seats are essential you dont get memory seats with manually adjustable poverty spec seats
